title,brand,model,type,year,transmisi,qty,avg_price,low_price,mid_price,new_price
Toyota Vellfire G (Premium Color) Automatic 2023,Toyota,Vellfire,G (Premium Color),2023,Automatic,14," 952,357,143 "," 470,000,000 "," 711,178,571 ",1399800000
Toyota Fortuner GR Sport 4X4 Automatic 2023,Toyota,Fortuner,GR Sport 4X4,2023,Automatic,13," 547,769,231 "," 479,000,000 "," 513,384,615 ",726850000
BMW 330i M Sport Pro Automatic 2023,BMW,330i,M Sport Pro,2023,Automatic,16," 815,250,000 "," 699,000,000 "," 757,125,000 ",1150000000
Toyota Fortuner G TRD Automatic 2014,Toyota,Fortuner,G TRD,2014,Automatic,14," 293,214,286 "," 261,000,000 "," 277,107,143 "," 458,700,000 "
Subaru WRX TS Eyesight Automatic 2023,Subaru,WRX,TS Eyesight,2023,Automatic,14," 729,142,857 "," 654,000,000 "," 691,571,429 ",949500000
Toyota Kijang Innova Zenix V (Non Premium Color) Automatic 2024,Toyota,Kijang Innova Zenix,V (Non Premium Color),2024,Automatic,16," 394,312,500 "," 370,000,000 "," 382,156,250 ",477600000
Toyota Avanza G Manual 2014,Toyota,Avanza,G,2014,Manual,16," 121,468,750 "," 99,000,000 "," 110,234,375 "," 181,700,000 "
Toyota Kijang Innova Zenix V (Premium Color) Automatic 2022,Toyota,Kijang Innova Zenix,V (Premium Color),2022,Automatic,14," 362,928,571 "," 309,000,000 "," 335,964,286 ",461000000
Daihatsu Ayla X Automatic 2021,Daihatsu,Ayla,X,2021,Automatic,13," 112,230,769 "," 98,000,000 "," 105,115,385 ",137950000
Ford EcoSport Titanium Automatic 2015,Ford,EcoSport,Titanium,2015,Automatic,13," 108,615,385 "," 95,000,000 "," 101,807,692 "," 253,000,000 "
Toyota Alphard G (Non Premium Color) Automatic 2024,Toyota,Alphard,G (Non Premium Color),2024,Automatic,14," 1,421,714,286 "," 1,329,000,000 "," 1,375,357,143 ",1407800000
Wuling Almaz RS Pro Automatic 2023,Wuling,Almaz,RS Pro,2023,Automatic,15," 243,560,000 "," 224,000,000 "," 233,780,000 ",439200000
Toyota Vellfire G (Non Premium Color) Automatic 2023,Toyota,Vellfire,G (Non Premium Color),2023,Automatic,14," 1,011,142,857 "," 949,000,000 "," 980,071,429 ",1396300000
Volkswagen Tiguan TSI Highline Automatic 2014,Volkswagen,Tiguan,TSI Highline,2014,Automatic,13," 155,076,923 "," 108,000,000 "," 131,538,462 "," 445,000,000 "
Hyundai Palisade Signature 2WD Automatic 2022,Hyundai,Palisade,Signature 2WD,2022,Automatic,13," 689,923,077 "," 625,000,000 "," 657,461,538 ",904000000
Hyundai Creta Style Automatic 2023,Hyundai,Creta,Style,2023,Automatic,15," 256,733,333 "," 235,000,000 "," 245,866,667 ",376000000
Suzuki Ertiga GX Automatic 2021,Suzuki,Ertiga,GX,2021,Automatic,14," 190,714,286 "," 168,000,000 "," 179,357,143 ",260600000
Daihatsu Rocky X Automatic 2022,Daihatsu,Rocky,X,2022,Automatic,13," 176,000,000 "," 165,000,000 "," 170,500,000 ",220100000
Toyota Land Cruiser 300 GR-S 70th Anniversary Automatic 2023,Toyota,Land Cruiser,300 GR-S 70th Anniversary,2023,Automatic,13," 2,236,076,923 "," 1,919,000,000 "," 2,077,538,462 ",2580150000
Mitsubishi Outlander Sport PX Automatic 2018,Mitsubishi,Outlander Sport,PX,2018,Automatic,16," 216,250,000 "," 195,000,000 "," 205,625,000 ",379500000
Wuling Air EV Standard Range Automatic 2023,Wuling,Air EV,Standard Range,2023,Automatic,13," 140,230,769 "," 130,000,000 "," 135,115,385 ",243000000
Toyota Alphard HEV Modelista (Premium Color) Automatic 2024,Toyota,Alphard,HEV Modelista (Premium Color),2024,Automatic,16," 1,613,125,000 "," 1,480,000,000 "," 1,546,562,500 ",1713800000
Mitsubishi Pajero Sport Exceed 4x2 Automatic 2010,Mitsubishi,Pajero Sport,Exceed 4x2,2010,Automatic,16," 200,312,500 "," 167,000,000 "," 183,656,250 ",391000000
Mitsubishi Pajero Sport V6 Automatic 2014,Mitsubishi,Pajero Sport,V6,2014,Automatic,13," 197,384,615 "," 179,000,000 "," 188,192,308 "," 483,500,000 "
Suzuki Jimny 3 Door (1 Tone) Automatic 2020,Suzuki,Jimny,3 Door (1 Tone),2020,Automatic,16," 407,687,500 "," 369,000,000 "," 388,343,750 ",395500000
Suzuki Grand Vitara GX (Two Tone) Automatic 2023,Suzuki,Grand Vitara,GX (Two Tone),2023,Automatic,14," 296,464,286 "," 279,000,000 "," 287,732,143 ",387400000
Wuling Cortez L Lux+ Automatic 2018,Wuling,Cortez,L Lux+,2018,Automatic,14," 133,428,571 "," 115,000,000 "," 124,214,286 ",264800000
Hyundai H-1 Royale Automatic 2019,Hyundai,H-1,Royale,2019,Automatic,13," 370,769,231 "," 203,000,000 "," 286,884,615 ",607750000
Suzuki Jimny 5 Door (1 Tone) Automatic 2024,Suzuki,Jimny,5 Door (1 Tone),2024,Automatic,14," 468,714,286 "," 442,000,000 "," 455,357,143 ",475600000
Toyota Kijang Innova G Manual 2016,Toyota,Kijang Innova,G,2016,Manual,16," 215,062,500 "," 191,000,000 "," 203,031,250 "," 292,100,000 "
Chevrolet Captiva LTZ Automatic 2016,Chevrolet,Captiva,LTZ,2016,Automatic,13," 212,461,538 "," 201,000,000 "," 206,730,769 "," 445,500,000 "
Toyota Agya TRD S Automatic 2015,Toyota,Agya,TRD S,2015,Automatic,16," 97,562,500 "," 88,000,000 "," 92,781,250 "," 134,660,000 "
Toyota Avanza G Manual 2020,Toyota,Avanza,G,2020,Manual,15," 164,433,333 "," 148,500,000 "," 156,466,667 ",216500000
Daihatsu Gran Max Mini Bus D Manual 2020,Daihatsu,Gran Max,Mini Bus D,2020,Manual,14," 120,678,571 "," 106,500,000 "," 113,589,286 ",165575000
Honda Brio RS Special Edition Automatic 2017,Honda,Brio,RS Special Edition,2017,Automatic,15," 141,000,000 "," 129,000,000 "," 135,000,000 ",179200000
Nissan Terra 4x2 VL Automatic 2019,Nissan,Terra,4x2 VL,2019,Automatic,14," 334,357,143 "," 305,000,000 "," 319,678,571 ",499000000
Toyota Kijang Innova Zenix V (Premium Color) Automatic 2024,Toyota,Kijang Innova Zenix,V (Premium Color),2024,Automatic,16," 404,062,500 "," 370,000,000 "," 387,031,250 ",480600000
Toyota Fortuner G 4X2 Automatic 2020,Toyota,Fortuner,G 4X2,2020,Automatic,16," 385,681,250 "," 376,000,000 "," 380,840,625 ",509900000
Nissan Serena Highway Star Automatic 2023,Nissan,Serena,Highway Star,2023,Automatic,14," 383,428,571 "," 336,000,000 "," 359,714,286 ",545800000
Renault Triber RXZ Automatic 2020,Renault,Triber,RXZ,2020,Automatic,13," 103,846,154 "," 93,000,000 "," 98,423,077 ",179900000
Mitsubishi Pajero Sport Exceed Automatic 2019,Mitsubishi,Pajero Sport,Exceed,2019,Automatic,16," 349,250,000 "," 295,000,000 "," 322,125,000 ",486500000
Nissan Serena Highway star (1 Tone) Automatic 2022,Nissan,Serena,Highway star (1 Tone),2022,Automatic,16," 367,250,000 "," 352,000,000 "," 359,625,000 ",521800000
Daihatsu Ayla X Automatic 2019,Daihatsu,Ayla,X,2019,Automatic,16," 103,406,250 "," 92,000,000 "," 97,703,125 ",132250000
Mitsubishi Colt Diesel FE71 PS Manual 2017,Mitsubishi,Colt Diesel,FE71 PS,2017,Manual,14," 289,214,286 "," 205,000,000 "," 247,107,143 ",276500000
Daihatsu Ayla D Manual 2022,Daihatsu,Ayla,D,2022,Manual,15," 96,000,000 "," 83,000,000 "," 89,500,000 ",110000000
Daihatsu Gran Max PU STD Manual 2019,Daihatsu,Gran Max,PU STD,2019,Manual,16," 93,750,000 "," 88,000,000 "," 90,875,000 ",130275000
Toyota Kijang Innova V Luxury Automatic 2015,Toyota,Kijang Innova,V Luxury,2015,Automatic,13," 186,769,231 "," 178,000,000 "," 182,384,615 "," 351,050,000 "
Mazda 6 Elite Automatic 2018,Mazda,6,Elite,2018,Automatic,15," 324,800,000 "," 199,000,000 "," 261,900,000 ",649800000
Honda Odyssey Prestige Automatic 2020,Honda,Odyssey,Prestige,2020,Automatic,16," 418,812,500 "," 406,000,000 "," 412,406,250 ",776000000
Toyota Sienta V Automatic 2021,Toyota,Sienta,V,2021,Automatic,10," 191,600,001 "," 180,000,000 "," 185,800,000 ",280300000
Mazda CX-3 Grand Touring Automatic 2017,Mazda,CX-3,Grand Touring,2017,Automatic,11," 240,181,818 "," 215,000,000 "," 227,590,909 ",435000000
Lexus NX 300 F Sport Automatic 2019,Lexus,NX 300,F Sport,2019,Automatic,10," 579,900,000 "," 525,000,000 "," 552,450,000 ",1175000000
Nissan Grand Livina XV Automatic 2014,Nissan,Grand Livina,XV,2014,Automatic,12," 95,833,333 "," 86,000,000 "," 90,916,667 "," 215,100,000 "
Peugeot 3008 Allure Plus Automatic 2022,Peugeot,3008,Allure Plus,2022,Automatic,11," 391,181,818 "," 325,000,000 "," 358,090,909 ",735000000
Toyota Avanza Veloz Manual 2020,Toyota,Avanza,Veloz,2020,Manual,11," 183,818,182 "," 162,000,000 "," 172,909,091 ",230050000
BMW 530i M Sport Automatic 2020,BMW,530i,M Sport,2020,Automatic,10," 648,800,000 "," 585,000,000 "," 616,900,000 ",1259000000
BMW X1 sDrive18i Dynamic Automatic 2022,BMW,X1,sDrive18i Dynamic,2022,Automatic,10," 501,500,000 "," 427,000,000 "," 464,250,000 ",840000000
Honda Freed Power Sliding Door Automatic 2010,Honda,Freed,Power Sliding Door,2010,Automatic,11," 112,045,455 "," 100,000,000 "," 106,022,727 ",253000000
Toyota Agya TRD Automatic 2021,Toyota,Agya,TRD,2021,Automatic,12," 130,333,333 "," 109,000,000 "," 119,666,667 ",170390000
Suzuki Ertiga GX Automatic 2017,Suzuki,Ertiga,GX,2017,Automatic,12," 143,291,667 "," 122,000,000 "," 132,645,833 ",231000000
Toyota Agya TRD S Manual 2016,Toyota,Agya,TRD S,2016,Manual,10," 93,200,000 "," 80,000,000 "," 86,600,000 "," 128,860,000 "
Lexus LM 350 4 Seater Automatic 2023,Lexus,LM 350,4 Seater,2023,Automatic,10," 1,713,900,000 "," 1,450,000,000 "," 1,581,950,000 ",3060000000
Toyota Vellfire Limited Automatic 2017,Toyota,Vellfire,Limited,2017,Automatic,12," 591,583,333 "," 499,000,000 "," 545,291,667 ",
Volkswagen Tiguan TSI Allspace Automatic 2022,Volkswagen,Tiguan,TSI Allspace,2022,Automatic,10," 326,300,000 "," 308,000,000 "," 317,150,000 ",605000000
Wuling Almaz Exclusive 5 Seater Automatic 2020,Wuling,Almaz,Exclusive 5 Seater,2020,Automatic,12," 164,250,000 "," 153,000,000 "," 158,625,000 ",341800000
Daihatsu Gran Max Blind Van AC Manual 2019,Daihatsu,Gran Max,Blind Van AC,2019,Manual,12," 98,575,000 "," 83,000,000 "," 90,787,500 ",142375000
Daihatsu Sigra R Manual 2022,Daihatsu,Sigra,R,2022,Manual,12," 136,666,667 "," 120,000,000 "," 128,333,333 ",155800000
BMW 330i M Sport Pro Automatic 2024,BMW,330i,M Sport Pro,2024,Automatic,11," 842,454,545 "," 698,000,000 "," 770,227,273 ",1229000000
Hyundai Stargazer Trend Automatic 2023,Hyundai,Stargazer,Trend,2023,Automatic,10," 193,100,000 "," 185,000,000 "," 189,050,000 ",280900000
Mercedes-Benz E250 Avantgarde CKD Automatic 2018,Mercedes-Benz,E250,Avantgarde CKD,2018,Automatic,12," 500,916,667 "," 445,000,000 "," 472,958,334 ",1149000000
Toyota Avanza Veloz Automatic 2016,Toyota,Avanza,Veloz,2016,Automatic,10," 141,400,000 "," 136,000,000 "," 138,700,000 "," 226,900,000 "
Nissan Serena Highway Star Automatic 2016,Nissan,Serena,Highway Star,2016,Automatic,12," 158,416,667 "," 146,000,000 "," 152,208,333 "," 419,000,000 "
Nissan Serena Panoramic Autech Automatic 2013,Nissan,Serena,Panoramic Autech,2013,Automatic,10," 146,800,000 "," 130,000,000 "," 138,400,000 "," 370,000,000 "
Honda Accord VTi-L Automatic 2012,Honda,Accord,VTi-L,2012,Automatic,11," 133,000,000 "," 125,000,000 "," 129,000,000 "," 499,000,000 "
Toyota Voxy (Non Premium Color) Automatic 2024,Toyota,Voxy,(Non Premium Color),2024,Automatic,11," 511,272,727 "," 480,000,000 "," 495,636,364 ",619000000
Nissan Serena X Automatic 2019,Nissan,Serena,X,2019,Automatic,12," 244,250,000 "," 230,000,000 "," 237,125,000 ",448000000
Mercedes-Benz B200 Urban Automatic 2013,Mercedes-Benz,B200,Urban,2013,Automatic,10," 177,390,000 "," 164,000,000 "," 170,695,000 "," 499,000,000 "
Honda City RS Honda Sensing Automatic 2022,Honda,City,RS Honda Sensing,2022,Automatic,12," 267,833,333 "," 208,000,000 "," 237,916,667 ",586900000
Toyota Avanza Veloz Manual 2017,Toyota,Avanza,Veloz,2017,Manual,12," 151,000,000 "," 129,000,000 "," 140,000,000 ",227100000
Toyota Camry V Automatic 2011,Toyota,Camry,V,2011,Automatic,11," 122,727,273 "," 109,000,000 "," 115,863,636 "," 510,100,000 "
Honda Brio Satya E Automatic 2016,Honda,Brio,Satya E,2016,Automatic,12," 117,833,333 "," 110,000,000 "," 113,916,667 "," 149,600,000 "
Peugeot 5008 GT Line Automatic 2019,Peugeot,5008,GT Line,2019,Automatic,12," 357,666,667 "," 345,000,000 "," 351,333,333 ",820000000
Honda Brio E Automatic 2013,Honda,Brio,E,2013,Automatic,10," 109,900,000 "," 94,000,000 "," 101,950,000 "," 141,000,000 "
Toyota Hilux V Double Cab 4X4 Automatic 2023,Toyota,Hilux,V Double Cab 4X4,2023,Automatic,12," 463,458,333 "," 427,000,000 "," 445,229,167 ",525100000
Toyota Kijang Innova G Automatic 2010,Toyota,Kijang Innova,G,2010,Automatic,11," 176,727,273 "," 105,000,000 "," 140,863,636 ",239950000
Wuling Binguo EV 333 Long Range AC Automatic 2024,Wuling,Binguo EV,333 Long Range AC,2024,Automatic,10," 256,800,000 "," 205,000,000 "," 230,900,000 ",357000000
BMW X3 xDrive30i M Sport Automatic 2021,BMW,X3,xDrive30i M Sport,2021,Automatic,10," 738,900,000 "," 669,000,000 "," 703,950,000 ",1220000000
Honda Accord VTi-L Automatic 2010,Honda,Accord,VTi-L,2010,Automatic,11," 117,681,818 "," 104,500,000 "," 111,090,909 ",459000000
Toyota Camry V Automatic 2018,Toyota,Camry,V,2018,Automatic,11," 235,363,636 "," 220,000,000 "," 227,681,818 ",619600000
Mazda 2 R Automatic 2014,Mazda,2,R,2014,Automatic,12," 135,041,667 "," 107,000,000 "," 121,020,833 "," 248,000,000 "
Mitsubishi Outlander Sport PX Automatic 2014,Mitsubishi,Outlander Sport,PX,2014,Automatic,12," 160,000,000 "," 135,000,000 "," 147,500,000 "," 342,000,000 "
Lexus ES 300h Ultra Luxury Automatic 2022,Lexus,ES 300h,Ultra Luxury,2022,Automatic,12," 805,750,000 "," 718,000,000 "," 761,875,000 ",1217000000
Mercedes-Benz GLA200 AMG Automatic 2015,Mercedes-Benz,GLA200,AMG,2015,Automatic,12," 292,916,667 "," 255,000,000 "," 273,958,333 "," 699,000,000 "
Toyota Alphard SC Automatic 2012,Toyota,Alphard,SC,2012,Automatic,12," 257,000,000 "," 229,000,000 "," 243,000,000 ",
Mazda CX-5 Grand Touring Automatic 2013,Mazda,CX-5,Grand Touring,2013,Automatic,10," 171,200,000 "," 135,000,000 "," 153,100,000 "," 416,000,000 "
Honda CR-V Black Edition Automatic 2022,Honda,CR-V,Black Edition,2022,Automatic,11," 480,636,364 "," 448,000,000 "," 464,318,182 ",607700000
Toyota Alphard S Automatic 2012,Toyota,Alphard,S,2012,Automatic,11," 245,909,091 "," 195,000,000 "," 220,454,545 ",
Nissan Elgrand Highway Star Automatic 2013,Nissan,Elgrand,Highway Star,2013,Automatic,10," 192,100,000 "," 175,000,000 "," 183,550,000 "," 860,000,000 "
Toyota Corolla Cross Hybrid Automatic 2022,Toyota,Corolla Cross,Hybrid,2022,Automatic,10," 349,900,000 "," 320,000,000 "," 334,950,000 ",535900000
Toyota Alphard SC Automatic 2014,Toyota,Alphard,SC,2014,Automatic,12," 294,083,333 "," 265,000,000 "," 279,541,667 ",
Mercedes-Benz E250 Avantgarde Automatic 2013,Mercedes-Benz,E250,Avantgarde,2013,Automatic,12," 292,166,667 "," 185,000,000 "," 238,583,333 "," 849,000,000 "
Suzuki Ertiga GL Manual 2012,Suzuki,Ertiga,GL,2012,Manual,12," 107,333,333 "," 99,000,000 "," 103,166,667 "," 156,000,000 "
Daihatsu Sigra R Manual 2020,Daihatsu,Sigra,R,2020,Manual,12," 123,333,333 "," 117,000,000 "," 120,166,667 ",142250000
Daihatsu Gran Max Blind Van Manual 2018,Daihatsu,Gran Max,Blind Van,2018,Manual,11," 87,954,545 "," 85,000,000 "," 86,477,273 ",136375000
Toyota Etios Valco G Manual 2014,Toyota,Etios Valco,G,2014,Manual,12," 91,666,667 "," 79,000,000 "," 85,333,333 "," 159,900,000 "
Mitsubishi Xpander Exceed Automatic 2023,Mitsubishi,Xpander,Exceed,2023,Automatic,11," 225,090,909 "," 185,000,000 "," 205,045,455 ",280700000
Toyota Alphard S Automatic 2014,Toyota,Alphard,S,2014,Automatic,10," 256,100,000 "," 206,000,000 "," 231,050,000 ",
Daihatsu Sigra X Automatic 2021,Daihatsu,Sigra,X,2021,Automatic,11," 121,000,000 "," 115,000,000 "," 118,000,000 ",148650000
Daihatsu Sigra R Deluxe Automatic 2016,Daihatsu,Sigra,R Deluxe,2016,Automatic,11," 104,727,273 "," 92,500,000 "," 98,613,636 "," 147,650,000 "
Toyota Agya TRD Manual 2021,Toyota,Agya,TRD,2021,Manual,11," 127,545,455 "," 122,000,000 "," 124,772,727 ",153545000
Toyota Alphard G Automatic 2011,Toyota,Alphard,G,2011,Automatic,10," 218,900,000 "," 165,000,000 "," 191,950,000 "," 780,000,000 "
Toyota Avanza Veloz Automatic 2017,Toyota,Avanza,Veloz,2017,Automatic,12," 154,333,333 "," 143,000,000 "," 148,666,667 ",237600000
Mitsubishi Pajero Sport Dakar Ultimate 4X2 Automatic 2018,Mitsubishi,Pajero Sport,Dakar Ultimate 4X2,2018,Automatic,12," 368,875,000 "," 348,000,000 "," 358,437,500 ",556000000
Toyota Avanza G Manual 2016,Toyota,Avanza,G,2016,Manual,12," 145,500,000 "," 134,000,000 "," 139,750,000 "," 198,700,000 "
Toyota Kijang Innova G Manual 2012,Toyota,Kijang Innova,G,2012,Manual,10," 177,700,000 "," 120,000,000 "," 148,850,000 "," 249,250,000 "
Mitsubishi Pajero Sport Exceed Automatic 2015,Mitsubishi,Pajero Sport,Exceed,2015,Automatic,10," 239,200,000 "," 207,000,000 "," 223,100,000 "," 431,000,000 "
Suzuki Ertiga GL Automatic 2015,Suzuki,Ertiga,GL,2015,Automatic,10," 121,750,000 "," 110,000,000 "," 115,875,000 "," 191,000,000 "
Land Rover Range Rover Autobiography Automatic 2013,Land Rover,Range Rover,Autobiography,2013,Automatic,10," 1,197,900,000 "," 950,000,000 "," 1,073,950,000 ",
Toyota Avanza Veloz Automatic 2019,Toyota,Avanza,Veloz,2019,Automatic,12," 174,458,333 "," 155,000,000 "," 164,729,167 ",239450000
Suzuki Ignis GX Automatic 2021,Suzuki,Ignis,GX,2021,Automatic,11," 145,818,182 "," 135,000,000 "," 140,409,091 ",207200000
Mitsubishi Pajero Sport Exceed Automatic 2012,Mitsubishi,Pajero Sport,Exceed,2012,Automatic,10," 211,400,000 "," 195,000,000 "," 203,200,000 "," 406,000,000 "
Honda BR-V Prestige Automatic 2018,Honda,BR-V,Prestige,2018,Automatic,11," 179,954,545 "," 145,000,000 "," 162,477,273 ",279500000
Ford Everest Titanium Automatic 2015,Ford,Everest,Titanium,2015,Automatic,10," 368,200,000 "," 356,000,000 "," 362,100,000 "," 585,000,000 "
Wuling Almaz Rs Pro Exclusive Automatic 2022,Wuling,Almaz,Rs Pro Exclusive,2022,Automatic,11," 225,545,455 "," 185,000,000 "," 205,272,727 ",432000000
BMW 730Li M Sport Automatic 2022,BMW,730Li,M Sport,2022,Automatic,12," 1,199,166,667 "," 1,000,000,000 "," 1,099,583,333 ",2100000000
Honda City E Automatic 2014,Honda,City,E,2014,Automatic,10," 150,400,000 "," 138,000,000 "," 144,200,000 "," 297,000,000 "
Jeep Wrangler Rubicon Unlimited 4 Door Automatic 2023,Jeep,Wrangler,Rubicon Unlimited 4 Door,2023,Automatic,11," 1,757,727,273 "," 1,725,000,000 "," 1,741,363,636 ",1855000000
Mercedes-Benz GLE400 AMG Line Automatic 2018,Mercedes-Benz,GLE400,AMG Line,2018,Automatic,10," 661,000,000 "," 525,000,000 "," 593,000,000 ",1639000000
Toyota Avanza Veloz Automatic 2013,Toyota,Avanza,Veloz,2013,Automatic,10," 126,300,000 "," 115,000,000 "," 120,650,000 "," 195,800,000 "
Honda Mobilio RS Automatic 2021,Honda,Mobilio,RS,2021,Automatic,10," 183,000,000 "," 174,000,000 "," 178,500,000 ",259000000
Toyota Avanza Veloz Manual 2018,Toyota,Avanza,Veloz,2018,Manual,10," 164,900,000 "," 149,000,000 "," 156,950,000 ",227650000
Honda City E Automatic 2013,Honda,City,E,2013,Automatic,10," 130,200,000 "," 118,000,000 "," 124,100,000 "," 286,000,000 "
Honda Odyssey Prestige Automatic 2014,Honda,Odyssey,Prestige,2014,Automatic,11," 252,454,545 "," 215,000,000 "," 233,727,273 "," 602,000,000 "
Toyota Fortuner G TRD VNT Automatic 2013,Toyota,Fortuner,G TRD VNT,2013,Automatic,10," 285,950,000 "," 260,500,000 "," 273,225,000 "," 445,700,000 "
Nissan Elgrand Highway Star Automatic 2011,Nissan,Elgrand,Highway Star,2011,Automatic,11," 190,636,364 "," 177,000,000 "," 183,818,182 "," 820,000,000 "
Toyota Sienta V Manual 2017,Toyota,Sienta,V,2017,Manual,10," 147,800,000 "," 130,000,000 "," 138,900,000 ",246900000
BMW 528i Luxury Automatic 2015,BMW,528i,Luxury,2015,Automatic,12," 337,333,333 "," 270,000,000 "," 303,666,667 "," 989,000,000 "
Mazda 2 GT Automatic 2017,Mazda,2,GT,2017,Automatic,12," 176,250,000 "," 163,000,000 "," 169,625,000 ",290300000
BMW 320i Sport Automatic 2019,BMW,320i,Sport,2019,Automatic,10," 495,400,000 "," 330,000,000 "," 412,700,000 ",749000000
Toyota Avanza G Manual 2011,Toyota,Avanza,G,2011,Manual,10," 105,500,000 "," 90,000,000 "," 97,750,000 "," 160,000,000 "
Wuling Air EV Long Range + Charging Pile Automatic 2023,Wuling,Air EV,Long Range + Charging Pile,2023,Automatic,10," 158,150,000 "," 140,000,000 "," 149,075,000 ",299500000
Mercedes-Benz C200 CGI Automatic 2010,Mercedes-Benz,C200,CGI,2010,Automatic,10," 139,900,000 "," 128,000,000 "," 133,950,000 ",599000000
Toyota Avanza E Manual 2017,Toyota,Avanza,E,2017,Manual,10," 125,700,000 "," 115,000,000 "," 120,350,000 ",188600000
Honda Jazz RS Automatic 2010,Honda,Jazz,RS,2010,Automatic,10," 130,000,001 "," 115,000,000 "," 122,500,000 ",221000000
BMW X3 xDrive30i M Sport Automatic 2023,BMW,X3,xDrive30i M Sport,2023,Automatic,11," 971,336,364 "," 925,000,000 "," 948,168,182 ",1287000000
Mazda CX-8 Elite Automatic 2019,Mazda,CX-8,Elite,2019,Automatic,11," 358,309,091 "," 319,500,000 "," 338,904,545 ",746800000
Honda CR-V RS e:HEV Automatic 2023,Honda,CR-V,RS e:HEV,2023,Automatic,10," 634,500,000 "," 598,000,000 "," 616,250,000 ",799900000
Daihatsu Xenia R Automatic 2019,Daihatsu,Xenia,R,2019,Automatic,11," 153,727,273 "," 149,000,000 "," 151,363,636 ",207450000
Honda Freed S Automatic 2012,Honda,Freed,S,2012,Automatic,11," 135,909,091 "," 120,000,000 "," 127,954,545 "," 233,500,000 "
Honda Brio RS Urbanite Automatic 2022,Honda,Brio,RS Urbanite,2022,Automatic,11," 179,072,727 "," 168,800,000 "," 173,936,364 ",233900000
BMW X3 xDrive20i Automatic 2013,BMW,X3,xDrive20i,2013,Automatic,11," 248,636,364 "," 228,000,000 "," 238,318,182 "," 828,000,000 "
Wuling Almaz Exclusive 7 Seater Automatic 2022,Wuling,Almaz,Exclusive 7 Seater,2022,Automatic,11," 191,672,727 "," 178,500,000 "," 185,086,364 ",385800000
Toyota Fortuner G TRD Automatic 2015,Toyota,Fortuner,G TRD,2015,Automatic,10," 298,200,000 "," 254,000,000 "," 276,100,000 "," 460,650,000 "
Honda Brio Satya S Manual 2017,Honda,Brio,Satya S,2017,Manual,10," 100,700,000 "," 95,000,000 "," 97,850,000 ",131600000
Toyota Rush GR Sport Automatic 2024,Toyota,Rush,GR Sport,2024,Automatic,10," 254,100,000 "," 221,000,000 "," 237,550,000 ",312900000
Honda Civic E Automatic 2017,Honda,Civic,E,2017,Automatic,10," 318,000,000 "," 295,000,000 "," 306,500,000 ",480000000
Mercedes-Benz C200 Avantgarde Automatic 2017,Mercedes-Benz,C200,Avantgarde,2017,Automatic,10," 359,500,000 "," 318,000,000 "," 338,750,000 ",739000000
Nissan Serena Highway star (2 Tone) Automatic 2022,Nissan,Serena,Highway star (2 Tone),2022,Automatic,10," 361,500,000 "," 345,000,000 "," 353,250,000 ",523300000
Daihatsu Rocky R TC Automatic 2021,Daihatsu,Rocky,R TC,2021,Automatic,12," 191,904,167 "," 176,000,000 "," 183,952,083 ",231100000
Renault Koleos Signature Automatic 2019,Renault,Koleos,Signature,2019,Automatic,12," 222,333,333 "," 187,000,000 "," 204,666,667 ",558000000
Honda Mobilio RS Automatic 2018,Honda,Mobilio,RS,2018,Automatic,10," 163,150,000 "," 144,000,000 "," 153,575,000 ",248000000
Chery Omoda E5 EV Automatic 2024,Chery,Omoda E5,EV,2024,Automatic,12," 348,875,000 "," 329,000,000 "," 338,937,500 ",498800000
Mazda CX-5 Elite Automatic 2017,Mazda,CX-5,Elite,2017,Automatic,11," 273,168,182 "," 255,000,000 "," 264,084,091 ",526800000
Mazda CX-3 Touring Automatic 2020,Mazda,CX-3,Touring,2020,Automatic,12," 262,000,000 "," 229,000,000 "," 245,500,000 ",445800000
Toyota Hiace Commuter Manual 2019,Toyota,Hiace,Commuter,2019,Manual,10," 433,350,000 "," 394,500,000 "," 413,925,000 ",503450000
Mazda CX-60 Kuro Edition Automatic 2023,Mazda,CX-60,Kuro Edition,2023,Automatic,11," 678,909,091 "," 625,000,000 "," 651,954,545 ",1188800000
Daihatsu Ayla R Automatic 2018,Daihatsu,Ayla,R,2018,Automatic,12," 117,416,667 "," 90,000,000 "," 103,708,334 ",142150000
Toyota Camry V Automatic 2010,Toyota,Camry,V,2010,Automatic,12," 121,916,667 "," 108,000,000 "," 114,958,333 ",497000000
Daihatsu Ayla X Manual 2018,Daihatsu,Ayla,X,2018,Manual,11," 100,454,545 "," 89,000,000 "," 94,727,273 ",118650000
Hyundai H-1 Royale Automatic 2018,Hyundai,H-1,Royale,2018,Automatic,11," 309,909,091 "," 245,000,000 "," 277,454,545 ",599250000
Toyota Alphard G Automatic 2014,Toyota,Alphard,G,2014,Automatic,11," 306,818,182 "," 265,000,000 "," 285,909,091 "," 830,000,000 "
Suzuki Ertiga GX Automatic 2018,Suzuki,Ertiga,GX,2018,Automatic,11," 153,454,545 "," 129,500,000 "," 141,477,273 ",238000000
Honda HR-V Turbo RS Automatic 2023,Honda,HR-V,Turbo RS,2023,Automatic,11," 388,090,909 "," 352,000,000 "," 370,045,455 ",529900000
Mercedes-Benz GL400 4MATIC Automatic 2014,Mercedes-Benz,GL400,4MATIC,2014,Automatic,10," 577,800,000 "," 388,000,000 "," 482,900,000 "," 1,699,000,000 "
